epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421411452,2018-10-24T18.50.11.452,5.953,-0.002048000,-0.002048000,-0.000498500
1540421411553,2018-10-24T18.50.11.553,6.054,-0.002048000,-0.002048000,-0.000497750
1540421411654,2018-10-24T18.50.11.654,6.155,-0.002048000,-0.002048000,-0.000498125
1540421411755,2018-10-24T18.50.11.755,6.256,-0.002048000,-0.002048000,-0.000498250
1540421411856,2018-10-24T18.50.11.856,6.357,-0.002048000,-0.002048000,-0.000498313
1540421411957,2018-10-24T18.50.11.957,6.458,-0.002048000,-0.002048000,-0.000498250
1540421412059,2018-10-24T18.50.12.059,6.560,-0.002048000,-0.002048000,-0.000497313
1540421412158,2018-10-24T18.50.12.158,6.659,-0.002048000,-0.002048000,-0.000498875
1540421412259,2018-10-24T18.50.12.259,6.760,-0.002048000,-0.002048000,-0.000498250
1540421412360,2018-10-24T18.50.12.360,6.861,-0.002048000,-0.002048000,-0.000498875
1540421412461,2018-10-24T18.50.12.461,6.962,-0.002048000,-0.002048000,-0.000498250
1540421412562,2018-10-24T18.50.12.562,7.063,-0.002048000,-0.002048000,-0.000497563
1540421412663,2018-10-24T18.50.12.663,7.164,-0.002048000,-0.002048000,-0.000498313
1540421412765,2018-10-24T18.50.12.765,7.266,-0.002048000,-0.002048000,-0.000497875
1540421412866,2018-10-24T18.50.12.866,7.367,-0.002048000,-0.002048000,-0.000495875
1540421412967,2018-10-24T18.50.12.967,7.468,-0.002048000,-0.002048000,-0.000493625
1540421413068,2018-10-24T18.50.13.068,7.569,-0.002048000,-0.002048000,-0.000499250
1540421413167,2018-10-24T18.50.13.167,7.668,-0.002048000,-0.002048000,-0.000503313
1540421413268,2018-10-24T18.50.13.268,7.769,-0.002048000,-0.002048000,-0.000509250
1540421413370,2018-10-24T18.50.13.370,7.871,-0.002048000,-0.002048000,-0.000512937
1540421413471,2018-10-24T18.50.13.471,7.972,-0.002048000,-0.002048000,-0.000514500
1540421413572,2018-10-24T18.50.13.572,8.073,-0.002048000,-0.002048000,-0.000513500
1540421413673,2018-10-24T18.50.13.673,8.174,-0.002048000,-0.002048000,-0.000514312
1540421413774,2018-10-24T18.50.13.774,8.275,-0.002048000,-0.002048000,-0.000511875
1540421413875,2018-10-24T18.50.13.875,8.376,-0.002048000,-0.002048000,-0.000505125
1540421413976,2018-10-24T18.50.13.976,8.477,-0.002048000,-0.002048000,-0.000500750
1540421414076,2018-10-24T18.50.14.076,8.577,-0.002048000,-0.002048000,-0.000495187
1540421414177,2018-10-24T18.50.14.177,8.678,-0.002048000,-0.002048000,-0.000490500
1540421414278,2018-10-24T18.50.14.278,8.779,-0.002048000,-0.002048000,-0.000488063
1540421414379,2018-10-24T18.50.14.379,8.880,-0.002048000,-0.002048000,-0.000487688
1540421414480,2018-10-24T18.50.14.480,8.981,-0.002048000,-0.002048000,-0.000489750
1540421414581,2018-10-24T18.50.14.581,9.082,-0.002048000,-0.002048000,-0.000501125
1540421414682,2018-10-24T18.50.14.682,9.183,-0.002048000,-0.002048000,-0.000509062
1540421414783,2018-10-24T18.50.14.783,9.284,-0.002048000,-0.002048000,-0.000509438
1540421414884,2018-10-24T18.50.14.884,9.385,-0.002048000,-0.002048000,-0.000509438
1540421414984,2018-10-24T18.50.14.984,9.485,-0.002048000,-0.002048000,-0.000502750
1540421415085,2018-10-24T18.50.15.085,9.586,-0.002048000,-0.002048000,-0.000493625
1540421415186,2018-10-24T18.50.15.186,9.687,-0.002048000,-0.002048000,-0.000486437
1540421415287,2018-10-24T18.50.15.287,9.788,-0.002048000,-0.002048000,-0.000481500
1540421415388,2018-10-24T18.50.15.388,9.889,-0.002048000,-0.002048000,-0.000479312
1540421415489,2018-10-24T18.50.15.489,9.990,-0.002048000,-0.002048000,-0.000480438
1540421415590,2018-10-24T18.50.15.590,10.091,-0.002048000,-0.002048000,-0.000491250
1540421415691,2018-10-24T18.50.15.691,10.192,-0.002048000,-0.002048000,-0.000501250
1540421415792,2018-10-24T18.50.15.792,10.293,-0.002048000,-0.002048000,-0.000503000
1540421415892,2018-10-24T18.50.15.892,10.393,-0.002048000,-0.002048000,-0.000500125
1540421415993,2018-10-24T18.50.15.993,10.494,-0.002048000,-0.002048000,-0.000497750
1540421416094,2018-10-24T18.50.16.094,10.595,-0.002048000,-0.002048000,-0.000491063
1540421416195,2018-10-24T18.50.16.195,10.696,-0.002048000,-0.002048000,-0.000482687
1540421416296,2018-10-24T18.50.16.296,10.797,-0.002048000,-0.002048000,-0.000474187
1540421416397,2018-10-24T18.50.16.397,10.898,-0.002048000,-0.002048000,-0.000468187
1540421416498,2018-10-24T18.50.16.498,10.999,-0.002048000,-0.002048000,-0.000471187
1540421416600,2018-10-24T18.50.16.600,11.101,-0.002048000,-0.002048000,-0.000483938
1540421416699,2018-10-24T18.50.16.699,11.200,-0.002048000,-0.002048000,-0.000494750
1540421416800,2018-10-24T18.50.16.800,11.301,-0.002048000,-0.002048000,-0.000498375
1540421416901,2018-10-24T18.50.16.901,11.402,-0.002048000,-0.002048000,-0.000500375
1540421417002,2018-10-24T18.50.17.002,11.503,-0.002048000,-0.002048000,-0.000498313
1540421417103,2018-10-24T18.50.17.103,11.604,-0.002048000,-0.002048000,-0.000490875
1540421417205,2018-10-24T18.50.17.205,11.706,-0.002048000,-0.002048000,-0.000483625
1540421417306,2018-10-24T18.50.17.306,11.807,-0.002048000,-0.002048000,-0.000476063
1540421417407,2018-10-24T18.50.17.407,11.908,-0.002048000,-0.002048000,-0.000471000
1540421417506,2018-10-24T18.50.17.506,12.007,-0.002048000,-0.002048000,-0.000472875
1540421417607,2018-10-24T18.50.17.607,12.108,-0.002048000,-0.002048000,-0.000482125
1540421417708,2018-10-24T18.50.17.708,12.209,-0.002048000,-0.002048000,-0.000489375
1540421417809,2018-10-24T18.50.17.809,12.310,-0.002048000,-0.002048000,-0.000495187
1540421417911,2018-10-24T18.50.17.911,12.412,-0.002048000,-0.002048000,-0.000500188
1540421418012,2018-10-24T18.50.18.012,12.513,-0.002048000,-0.002048000,-0.000499062
1540421418113,2018-10-24T18.50.18.113,12.614,-0.002048000,-0.002048000,-0.000497000
1540421418214,2018-10-24T18.50.18.214,12.715,-0.002048000,-0.002048000,-0.000489250
1540421418315,2018-10-24T18.50.18.315,12.816,-0.002048000,-0.002048000,-0.000483250
1540421418414,2018-10-24T18.50.18.414,12.915,-0.002048000,-0.002048000,-0.000478750
1540421418516,2018-10-24T18.50.18.516,13.017,-0.002048000,-0.002048000,-0.000479688
1540421418617,2018-10-24T18.50.18.617,13.118,-0.002048000,-0.002048000,-0.000491188
1540421418718,2018-10-24T18.50.18.718,13.219,-0.002048000,-0.002048000,-0.000500875
1540421418819,2018-10-24T18.50.18.819,13.320,-0.002048000,-0.002048000,-0.000505000
1540421418920,2018-10-24T18.50.18.920,13.421,-0.002048000,-0.002048000,-0.000501125
1540421419021,2018-10-24T18.50.19.021,13.522,-0.002048000,-0.002048000,-0.000498812
1540421419122,2018-10-24T18.50.19.122,13.623,-0.002048000,-0.002048000,-0.000494750
1540421419223,2018-10-24T18.50.19.223,13.724,-0.002048000,-0.002048000,-0.000485125
1540421419323,2018-10-24T18.50.19.323,13.824,-0.002048000,-0.002048000,-0.000478750
1540421419424,2018-10-24T18.50.19.424,13.925,-0.002048000,-0.002048000,-0.000474750
1540421419525,2018-10-24T18.50.19.525,14.026,-0.002048000,-0.002048000,-0.000481937
1540421419626,2018-10-24T18.50.19.626,14.127,-0.002048000,-0.002048000,-0.000494375
1540421419727,2018-10-24T18.50.19.727,14.228,-0.002048000,-0.002048000,-0.000503937
1540421419828,2018-10-24T18.50.19.828,14.329,-0.002048000,-0.002048000,-0.000513375
1540421419929,2018-10-24T18.50.19.929,14.430,-0.002048000,-0.002048000,-0.000520187
1540421420030,2018-10-24T18.50.20.030,14.531,-0.002048000,-0.002048000,-0.000517125
1540421420131,2018-10-24T18.50.20.131,14.632,-0.002048000,-0.002048000,-0.000512063
1540421420231,2018-10-24T18.50.20.231,14.732,-0.002048000,-0.002048000,-0.000504250
1540421420332,2018-10-24T18.50.20.332,14.833,-0.002048000,-0.002048000,-0.000500375
1540421420433,2018-10-24T18.50.20.433,14.934,-0.002048000,-0.002048000,-0.000504125
1540421420534,2018-10-24T18.50.20.534,15.035,-0.002048000,-0.002048000,-0.000513937
1540421420635,2018-10-24T18.50.20.635,15.136,-0.002048000,-0.002048000,-0.000521687
1540421420736,2018-10-24T18.50.20.736,15.237,-0.002048000,-0.002048000,-0.000528750
1540421420837,2018-10-24T18.50.20.837,15.338,-0.002048000,-0.002048000,-0.000528750
1540421420938,2018-10-24T18.50.20.938,15.439,-0.002048000,-0.002048000,-0.000527250
1540421421039,2018-10-24T18.50.21.039,15.540,-0.002048000,-0.002048000,-0.000523438
1540421421139,2018-10-24T18.50.21.139,15.640,-0.002048000,-0.002048000,-0.000517062
1540421421240,2018-10-24T18.50.21.240,15.741,-0.002048000,-0.002048000,-0.000510250
1540421421341,2018-10-24T18.50.21.341,15.842,-0.002048000,-0.002048000,-0.000504875
1540421421442,2018-10-24T18.50.21.442,15.943,-0.002048000,-0.002048000,-0.000505000
1540421421543,2018-10-24T18.50.21.543,16.044,-0.002048000,-0.002048000,-0.000516000
1540421421644,2018-10-24T18.50.21.644,16.145,-0.002048000,-0.002048000,-0.000526000
1540421421746,2018-10-24T18.50.21.746,16.247,-0.002048000,-0.002048000,-0.000533188
1540421421847,2018-10-24T18.50.21.847,16.348,-0.002048000,-0.002048000,-0.000537812
1540421421948,2018-10-24T18.50.21.948,16.449,-0.002048000,-0.002048000,-0.000535813
1540421422047,2018-10-24T18.50.22.047,16.548,-0.002048000,-0.002048000,-0.000529688
1540421422148,2018-10-24T18.50.22.148,16.649,-0.002048000,-0.002048000,-0.000527250
1540421422249,2018-10-24T18.50.22.249,16.750,-0.002048000,-0.002048000,-0.000520937
1540421422351,2018-10-24T18.50.22.351,16.852,-0.002048000,-0.002048000,-0.000516688
1540421422452,2018-10-24T18.50.22.452,16.953,-0.002048000,-0.002048000,-0.000510563
1540421422553,2018-10-24T18.50.22.553,17.054,-0.002048000,-0.002048000,-0.000506438
1540421422654,2018-10-24T18.50.22.654,17.155,-0.002048000,-0.002048000,-0.000507188
1540421422755,2018-10-24T18.50.22.755,17.256,-0.002048000,-0.002048000,-0.000514125
1540421422856,2018-10-24T18.50.22.856,17.357,-0.002048000,-0.002048000,-0.000523000
1540421422957,2018-10-24T18.50.22.957,17.458,-0.002048000,-0.002048000,-0.000522500
1540421423057,2018-10-24T18.50.23.057,17.558,-0.002048000,-0.002048000,-0.000518000
1540421423158,2018-10-24T18.50.23.158,17.659,-0.002048000,-0.002048000,-0.000509500
1540421423259,2018-10-24T18.50.23.259,17.760,-0.002048000,-0.002048000,-0.000503375
1540421423360,2018-10-24T18.50.23.360,17.861,-0.002048000,-0.002048000,-0.000501062
1540421423461,2018-10-24T18.50.23.461,17.962,-0.002048000,-0.002048000,-0.000499812
1540421423562,2018-10-24T18.50.23.562,18.063,-0.002048000,-0.002048000,-0.000498687
1540421423663,2018-10-24T18.50.23.663,18.164,-0.002048000,-0.002048000,-0.000500500
1540421423764,2018-10-24T18.50.23.764,18.265,-0.002048000,-0.002048000,-0.000499438
1540421423865,2018-10-24T18.50.23.865,18.366,-0.002048000,-0.002048000,-0.000497250
1540421423966,2018-10-24T18.50.23.966,18.467,-0.002048000,-0.002048000,-0.000493375
1540421424066,2018-10-24T18.50.24.066,18.567,-0.002048000,-0.002048000,-0.000494188
1540421424167,2018-10-24T18.50.24.167,18.668,-0.002048000,-0.002048000,-0.000493750
1540421424268,2018-10-24T18.50.24.268,18.769,-0.002048000,-0.002048000,-0.000493000
1540421424369,2018-10-24T18.50.24.369,18.870,-0.002048000,-0.002048000,-0.000494188
1540421424470,2018-10-24T18.50.24.470,18.971,-0.002048000,-0.002048000,-0.000492562
1540421424571,2018-10-24T18.50.24.571,19.072,-0.002048000,-0.002048000,-0.000492625
1540421424672,2018-10-24T18.50.24.672,19.173,-0.002048000,-0.002048000,-0.000491875
1540421424773,2018-10-24T18.50.24.773,19.274,-0.002048000,-0.002048000,-0.000493000
1540421424874,2018-10-24T18.50.24.874,19.375,-0.002048000,-0.002048000,-0.000492750
1540421424976,2018-10-24T18.50.24.976,19.477,-0.002048000,-0.002048000,-0.000491500
1540421425075,2018-10-24T18.50.25.075,19.576,-0.002048000,-0.002048000,-0.000492188
1540421425176,2018-10-24T18.50.25.176,19.677,-0.002048000,-0.002048000,-0.000493000
1540421425277,2018-10-24T18.50.25.277,19.778,-0.002048000,-0.002048000,-0.000492938
1540421425378,2018-10-24T18.50.25.378,19.879,-0.002048000,-0.002048000,-0.000492812
1540421425479,2018-10-24T18.50.25.479,19.980,-0.002048000,-0.002048000,-0.000493000
1540421425580,2018-10-24T18.50.25.580,20.081,-0.002048000,-0.002048000,-0.000491875
1540421425682,2018-10-24T18.50.25.682,20.183,-0.002048000,-0.002048000,-0.000491688
1540421425783,2018-10-24T18.50.25.783,20.284,-0.002048000,-0.002048000,-0.000492562
1540421425884,2018-10-24T18.50.25.884,20.385,-0.002048000,-0.002048000,-0.000492625
1540421425983,2018-10-24T18.50.25.983,20.484,-0.002048000,-0.002048000,-0.000492188
1540421426084,2018-10-24T18.50.26.084,20.585,-0.002048000,-0.002048000,-0.000491312
1540421426185,2018-10-24T18.50.26.185,20.686,-0.002048000,-0.002048000,-0.000492250
1540421426287,2018-10-24T18.50.26.287,20.788,-0.002048000,-0.002048000,-0.000492250
1540421426388,2018-10-24T18.50.26.388,20.889,-0.002048000,-0.002048000,-0.000493312
1540421426489,2018-10-24T18.50.26.489,20.990,-0.002048000,-0.002048000,-0.000493688
1540421426590,2018-10-24T18.50.26.590,21.091,-0.002048000,-0.002048000,-0.000492938
1540421426691,2018-10-24T18.50.26.691,21.192,-0.002048000,-0.002048000,-0.000494188
1540421426792,2018-10-24T18.50.26.792,21.293,-0.002048000,-0.002048000,-0.000493500
1540421426892,2018-10-24T18.50.26.892,21.393,-0.002048000,-0.002048000,-0.000494188
1540421426993,2018-10-24T18.50.26.993,21.494,-0.002048000,-0.002048000,-0.000493562
1540421427094,2018-10-24T18.50.27.094,21.595,-0.002048000,-0.002048000,-0.000495500
1540421427195,2018-10-24T18.50.27.195,21.696,-0.002048000,-0.002048000,-0.000494312
1540421427296,2018-10-24T18.50.27.296,21.797,-0.002048000,-0.002048000,-0.000494938
1540421427397,2018-10-24T18.50.27.397,21.898,-0.002048000,-0.002048000,-0.000495313
1540421427498,2018-10-24T18.50.27.498,21.999,-0.002048000,-0.002048000,-0.000494188
1540421427599,2018-10-24T18.50.27.599,22.100,-0.002048000,-0.002048000,-0.000495500
1540421427699,2018-10-24T18.50.27.699,22.200,-0.002048000,-0.002048000,-0.000495875
