epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421410401,2018-10-24T18.50.10.401,5.860,-0.002048000,-0.002048000,-0.000874312
1540421410500,2018-10-24T18.50.10.500,5.959,-0.002048000,-0.002048000,-0.000879563
1540421410600,2018-10-24T18.50.10.600,6.059,-0.002048000,-0.002048000,-0.000880375
1540421410699,2018-10-24T18.50.10.699,6.158,-0.002048000,-0.002048000,-0.000881875
1540421410799,2018-10-24T18.50.10.799,6.258,-0.002048000,-0.002048000,-0.000880375
1540421410897,2018-10-24T18.50.10.897,6.356,-0.002048000,-0.002048000,-0.000877937
1540421410997,2018-10-24T18.50.10.997,6.456,-0.002048000,-0.002048000,-0.000869438
1540421411096,2018-10-24T18.50.11.096,6.555,-0.002048000,-0.002048000,-0.000862500
1540421411196,2018-10-24T18.50.11.196,6.655,-0.002048000,-0.002048000,-0.000856000
1540421411296,2018-10-24T18.50.11.296,6.755,-0.002048000,-0.002048000,-0.000859062
1540421411394,2018-10-24T18.50.11.394,6.853,-0.002048000,-0.002048000,-0.000859750
1540421411493,2018-10-24T18.50.11.493,6.952,-0.002048000,-0.002048000,-0.000861312
1540421411593,2018-10-24T18.50.11.593,7.052,-0.002048000,-0.002048000,-0.000861500
1540421411693,2018-10-24T18.50.11.693,7.152,-0.002048000,-0.002048000,-0.000862875
1540421411792,2018-10-24T18.50.11.792,7.251,-0.002048000,-0.002048000,-0.000864875
1540421411890,2018-10-24T18.50.11.890,7.349,-0.002048000,-0.002048000,-0.000862875
1540421411990,2018-10-24T18.50.11.990,7.449,-0.002048000,-0.002048000,-0.000854563
1540421412090,2018-10-24T18.50.12.090,7.549,-0.002048000,-0.002048000,-0.000863687
1540421412189,2018-10-24T18.50.12.189,7.648,-0.002048000,-0.002048000,-0.000872875
1540421412289,2018-10-24T18.50.12.289,7.748,-0.002048000,-0.002048000,-0.000879500
1540421412387,2018-10-24T18.50.12.387,7.846,-0.002048000,-0.002048000,-0.000882000
1540421412487,2018-10-24T18.50.12.487,7.946,-0.002048000,-0.002048000,-0.000880687
1540421412586,2018-10-24T18.50.12.586,8.045,-0.002048000,-0.002048000,-0.000878625
1540421412686,2018-10-24T18.50.12.686,8.145,-0.002048000,-0.002048000,-0.000874938
1540421412785,2018-10-24T18.50.12.785,8.244,-0.002048000,-0.002048000,-0.000868875
1540421412884,2018-10-24T18.50.12.884,8.343,-0.002048000,-0.002048000,-0.000869500
1540421412983,2018-10-24T18.50.12.983,8.442,-0.002048000,-0.002048000,-0.000875688
1540421413083,2018-10-24T18.50.13.083,8.542,-0.002048000,-0.002048000,-0.000884750
