epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421410547,2018-10-24T18.50.10.547,5.867,-0.002048000,-0.002048000,-0.000041750
1540421410646,2018-10-24T18.50.10.646,5.966,-0.002048000,-0.002048000,-0.000042437
1540421410746,2018-10-24T18.50.10.746,6.066,-0.002048000,-0.002048000,-0.000042500
1540421410845,2018-10-24T18.50.10.845,6.165,-0.002048000,-0.002048000,-0.000042437
1540421410945,2018-10-24T18.50.10.945,6.265,-0.002048000,-0.002048000,-0.000043188
1540421411045,2018-10-24T18.50.11.045,6.365,-0.002048000,-0.002048000,-0.000042125
1540421411144,2018-10-24T18.50.11.144,6.464,-0.002048000,-0.002048000,-0.000041750
1540421411244,2018-10-24T18.50.11.244,6.564,-0.002048000,-0.002048000,-0.000042500
1540421411342,2018-10-24T18.50.11.342,6.662,-0.002048000,-0.002048000,-0.000041375
1540421411442,2018-10-24T18.50.11.442,6.762,-0.002048000,-0.002048000,-0.000043625
1540421411541,2018-10-24T18.50.11.541,6.861,-0.002048000,-0.002048000,-0.000042875
1540421411641,2018-10-24T18.50.11.641,6.961,-0.002048000,-0.002048000,-0.000042125
1540421411740,2018-10-24T18.50.11.740,7.060,-0.002048000,-0.002048000,-0.000042125
1540421411840,2018-10-24T18.50.11.840,7.160,-0.002048000,-0.002048000,-0.000042500
1540421411940,2018-10-24T18.50.11.940,7.260,-0.002048000,-0.002048000,-0.000043188
1540421412038,2018-10-24T18.50.12.038,7.358,-0.002048000,-0.002048000,-0.000043250
1540421412137,2018-10-24T18.50.12.137,7.457,-0.002048000,-0.002048000,-0.000044750
1540421412237,2018-10-24T18.50.12.237,7.557,-0.002048000,-0.002048000,-0.000042500
1540421412337,2018-10-24T18.50.12.337,7.657,-0.002048000,-0.002048000,-0.000042500
1540421412436,2018-10-24T18.50.12.436,7.756,-0.002048000,-0.002048000,-0.000043625
1540421412536,2018-10-24T18.50.12.536,7.856,-0.002048000,-0.002048000,-0.000042875
1540421412636,2018-10-24T18.50.12.636,7.956,-0.002048000,-0.002048000,-0.000042812
1540421412735,2018-10-24T18.50.12.735,8.055,-0.002048000,-0.002048000,-0.000042437
1540421412833,2018-10-24T18.50.12.833,8.153,-0.002048000,-0.002048000,-0.000043563
1540421412933,2018-10-24T18.50.12.933,8.253,-0.002048000,-0.002048000,-0.000045125
1540421413032,2018-10-24T18.50.13.032,8.352,-0.002048000,-0.002048000,-0.000041000
1540421413132,2018-10-24T18.50.13.132,8.452,-0.002048000,-0.002048000,-0.000035312
1540421413232,2018-10-24T18.50.13.232,8.552,-0.002048000,-0.002048000,-0.000031937
1540421413331,2018-10-24T18.50.13.331,8.651,-0.002048000,-0.002048000,-0.000036438
1540421413431,2018-10-24T18.50.13.431,8.751,-0.002048000,-0.002048000,-0.000045125
1540421413531,2018-10-24T18.50.13.531,8.851,-0.002048000,-0.002048000,-0.000051562
1540421413629,2018-10-24T18.50.13.629,8.949,-0.002048000,-0.002048000,-0.000050000
1540421413728,2018-10-24T18.50.13.728,9.048,-0.002048000,-0.002048000,-0.000046250
1540421413828,2018-10-24T18.50.13.828,9.148,-0.002048000,-0.002048000,-0.000042875
1540421413927,2018-10-24T18.50.13.927,9.247,-0.002048000,-0.002048000,-0.000041688
1540421414027,2018-10-24T18.50.14.027,9.347,-0.002048000,-0.002048000,-0.000038687
1540421414127,2018-10-24T18.50.14.127,9.447,-0.002048000,-0.002048000,-0.000034563
1540421414226,2018-10-24T18.50.14.226,9.546,-0.002048000,-0.002048000,-0.000028187
1540421414326,2018-10-24T18.50.14.326,9.646,-0.002048000,-0.002048000,-0.000021063
1540421414424,2018-10-24T18.50.14.424,9.744,-0.002048000,-0.002048000,-0.000014250
1540421414524,2018-10-24T18.50.14.524,9.844,-0.002048000,-0.002048000,-0.000018812
1540421414623,2018-10-24T18.50.14.623,9.943,-0.002048000,-0.002048000,-0.000028938
